"Kod";"Nazwa";"Typy upraw";"Zakres przedmiotowy";"Rodzaje własności";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2015";31,7;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2016";34,4;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2017";34,9;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2018";29,3;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2019";30,2;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2020";36,8;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";31,6;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";34,7;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";31,6;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";34,4;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";35,0;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";29,8;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";30,1;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";37,5;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2013";30,6;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2014";32,3;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2015";27,1;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2016";29,3;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2017";33,0;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2018";23,1;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2019";28,0;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2020";37,3;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";30,2;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";31,5;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";26,5;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";28,5;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";31,4;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";22,5;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";27,0;"dt";"";
0400000;"KUJAWSKO-POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";35,9;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"ogółem";"2013";27,0;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"ogółem";"2014";30,2;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"ogółem";"2015";29,6;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"ogółem";"2016";29,3;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"ogółem";"2017";32,0;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"ogółem";"2018";25,1;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"ogółem";"2019";25,3;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"ogółem";"2020";33,6;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";27,0;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";30,1;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";29,6;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";29,3;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";32,0;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";25,1;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";25,3;"dt";"";
0600000;"LUBELSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";33,5;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"ogółem";"2013";29,9;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"ogółem";"2014";33,2;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"ogółem";"2015";25,8;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"ogółem";"2016";28,8;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"ogółem";"2017";32,2;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"ogółem";"2018";17,7;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"ogółem";"2019";21,1;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"ogółem";"2020";28,6;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";30,9;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";33,3;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";26,2;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";29,0;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";32,4;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";17,2;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";20,7;"dt";"";
0800000;"LUBUSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";28,4;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"ogółem";"2013";25,8;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"ogółem";"2014";30,6;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"ogółem";"2015";24,1;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"ogółem";"2016";27,6;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"ogółem";"2017";30,3;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"ogółem";"2018";24,2;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"ogółem";"2019";23,2;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"ogółem";"2020";34,3;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";25,7;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";30,5;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";24,1;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";27,6;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";30,2;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";24,2;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";23,1;"dt";"";
1000000;"ŁÓDZKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";34,2;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2013";24,7;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2014";26,8;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2015";24,7;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2016";26,7;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2017";27,4;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2018";25,8;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2019";26,0;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2020";28,5;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";24,7;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";26,5;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";24,3;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";26,5;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";27,0;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";25,6;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";25,6;"dt";"";
1200000;"MAŁOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";28,1;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"ogółem";"2013";23,6;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"ogółem";"2014";27,0;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"ogółem";"2015";22,7;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"ogółem";"2016";25,2;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"ogółem";"2017";25,4;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"ogółem";"2018";22,1;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"ogółem";"2019";23,0;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"ogółem";"2020";30,3;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";23,6;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";26,9;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";22,6;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";25,2;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";25,4;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";22,1;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";22,8;"dt";"";
1400000;"MAZOWIECKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";30,3;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2013";39,3;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2014";40,1;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2015";32,6;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2016";36,5;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2017";38,5;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2018";32,0;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2019";30,1;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2020";42,3;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";39,1;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";39,1;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";32,0;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";36,4;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";38,2;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";31,4;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";29,8;"dt";"";
1600000;"OPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";42,2;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"ogółem";"2013";25,3;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"ogółem";"2014";28,3;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"ogółem";"2015";26,6;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"ogółem";"2016";28,1;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"ogółem";"2017";28,9;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"ogółem";"2018";26,0;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"ogółem";"2019";27,0;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"ogółem";"2020";30,4;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";25,4;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";28,2;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";26,5;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";28,1;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";28,9;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";26,1;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";27,0;"dt";"";
1800000;"PODKARPACKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";30,5;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"ogółem";"2013";26,8;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"ogółem";"2014";29,3;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"ogółem";"2015";25,8;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"ogółem";"2016";25,7;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"ogółem";"2017";27,5;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"ogółem";"2018";19,6;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"ogółem";"2019";21,6;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"ogółem";"2020";35,6;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";26,8;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";29,3;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";25,8;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";25,7;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";27,6;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";19,7;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";21,6;"dt";"";
2000000;"PODLASKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";35,6;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2013";30,1;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2014";33,6;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2015";30,3;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2016";31,2;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2017";33,1;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2018";21,4;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2019";25,7;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"ogółem";"2020";31,1;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";30,2;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";33,5;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";30,2;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";31,2;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";32,8;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";21,4;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";25,5;"dt";"";
2200000;"POMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";30,5;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2013";29,3;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2014";34,3;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2015";30,1;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2016";34,0;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2017";35,3;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2018";31,0;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2019";29,5;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2020";36,1;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";29,2;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";34,2;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";30,1;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";34,0;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";35,2;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";30,9;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";29,5;"dt";"";
2400000;"ŚLĄSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";36,2;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"ogółem";"2013";23,5;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"ogółem";"2014";25,5;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"ogółem";"2015";22,9;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"ogółem";"2016";22,1;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"ogółem";"2017";24,0;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"ogółem";"2018";23,3;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"ogółem";"2019";22,4;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"ogółem";"2020";25,9;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";23,3;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";25,3;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";22,5;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";21,9;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";23,9;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";23,2;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";22,2;"dt";"";
2600000;"ŚWIĘTOKRZYSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";25,6;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"ogółem";"2013";31,8;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"ogółem";"2014";32,6;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"ogółem";"2015";27,5;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"ogółem";"2016";30,6;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"ogółem";"2017";30,4;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"ogółem";"2018";25,4;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"ogółem";"2019";30,2;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"ogółem";"2020";34,6;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";31,5;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";32,7;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";27,2;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";30,4;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";30,3;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";25,0;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";29,3;"dt";"";
2800000;"WARMIŃSKO-MAZURSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";34,2;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2013";30,1;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2014";33,2;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2015";25,8;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2016";28,4;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2017";32,6;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2018";21,0;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2019";22,3;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"ogółem";"2020";33,4;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";29,8;"dt";"";
